StockCode,StockName,YahooFinanceSymbol
2023,燁輝,2023.TW
2024,志聯,2024.TW
2025,千興,2025.TW
2027,大成鋼,2027.TW
2028,威致,2028.TW
2029,盛餘,2029.TW
2030,彰源,2030.TW
2031,新光鋼,2031.TW
2032,新鋼,2032.TW
2033,佳大,2033.TW
2034,允強,2034.TW
2038,海光,2038.TW
2049,上銀,2049.TW
2059,川湖,2059.TW
2062,橋椿,2062.TW
2069,運錩,2069.TW
2101,南港,2101.TW
2102,泰豐,2102.TW
2103,台橡,2103.TW
2104,國際中橡,2104.TW
2105,正新,2105.TW
2106,建大,2106.TW
2107,厚生,2107.TW
2108,南帝,2108.TW
2109,華豐,2109.TW
2114,鑫永銓,2114.TW
2115,六暉-KY,2115.TW
2201,裕隆,2201.TW
2204,中華,2204.TW
2206,三陽工業,2206.TW
2207,和泰車,2207.TW
2208,台船,2208.TW
2211,長榮鋼,2211.TW
2227,裕日車,2227.TW
2228,劍麟,2228.TW
2231,為升,2231.TW
2233,宇隆,2233.TW
2236,百達-KY,2236.TW
2239,英利-KY,2239.TW
2241,艾姆勒,2241.TW
2243,宏旭-KY,2243.TW
2247,汎德永業,2247.TW
2250,IKKA-KY,2250.TW
2301,光寶科,2301.TW
2302,麗正,2302.TW
2303,聯電,2303.TW
2305,全友,2305.TW
2308,台達電,2308.TW
2312,金寶,2312.TW
2313,華通,2313.TW
2314,台揚,2314.TW
2316,楠梓電,2316.TW
2317,鴻海,2317.TW
2321,東訊,2321.TW
2323,中環,2323.TW
2324,仁寶,2324.TW
2327,國巨,2327.TW
2328,廣宇,2328.TW
2329,華泰,2329.TW
2330,台積電,2330.TW
2331,精英,2331.TW
2332,友訊,2332.TW
2337,旺宏,2337.TW
2338,光罩,2338.TW
2340,台亞,2340.TW
2342,茂矽,2342.TW
2344,華邦電,2344.TW
2345,智邦,2345.TW
2347,聯強,2347.TW
2348,海悅,2348.TW
2349,錸德,2349.TW
2351,順德,2351.TW
2352,佳世達,2352.TW
2353,宏碁,2353.TW
2354,鴻準,2354.TW
2355,敬鵬,2355.TW
2356,英業達,2356.TW
2357,華碩,2357.TW
2358,廷鑫,2358.TW
2359,所羅門,2359.TW
2360,致茂,2360.TW
2362,藍天,2362.TW
2363,矽統,2363.TW
2364,倫飛,2364.TW
2365,昆盈,2365.TW
2367,燿華,2367.TW
2368,金像電,2368.TW
2369,菱生,2369.TW
2371,大同,2371.TW
2373,震旦行,2373.TW
2374,佳能,2374.TW
2375,凱美,2375.TW
2376,技嘉,2376.TW
2377,微星,2377.TW
2379,瑞昱,2379.TW
2380,虹光,2380.TW
2382,廣達,2382.TW
2383,台光電,2383.TW
2385,群光,2385.TW
2387,精元,2387.TW
2388,威盛,2388.TW
2390,云辰,2390.TW
2392,正崴,2392.TW
2393,億光,2393.TW
2395,研華,2395.TW
2397,友通,2397.TW
2399,映泰,2399.TW
2401,凌陽,2401.TW
2402,毅嘉,2402.TW
2404,漢唐,2404.TW
2405,輔信,2405.TW
2406,國碩,2406.TW
2408,南亞科,2408.TW
2409,友達,2409.TW
2412,中華電,2412.TW
2413,環科,2413.TW
2414,精技,2414.TW
2415,錩新,2415.TW
2417,圓剛,2417.TW
2419,仲琦,2419.TW
2420,新巨,2420.TW
2421,建準,2421.TW
2423,固緯,2423.TW
2424,隴華,2424.TW
2425,承啟,2425.TW
2426,鼎元,2426.TW
2427,三商電,2427.TW
2428,興勤,2428.TW
2429,銘旺科,2429.TW
2430,燦坤,2430.TW
2431,聯昌,2431.TW
2433,互盛電,2433.TW
2434,統懋,2434.TW
2436,偉詮電,2436.TW
2438,翔耀,2438.TW
2439,美律,2439.TW
2440,太空梭,2440.TW
2441,超豐,2441.TW
2442,新美齊,2442.TW
2443,昶虹,2443.TW
2444,兆勁,2444.TW
2449,京元電子,2449.TW
2450,神腦,2450.TW
2451,創見,2451.TW
2453,凌群,2453.TW
2454,聯發科,2454.TW
2455,全新,2455.TW
2457,飛宏,2457.TW
2458,義隆,2458.TW
2459,敦吉,2459.TW
2460,建通,2460.TW
2461,光群雷,2461.TW
2462,良得電,2462.TW
2464,盟立,2464.TW
2465,麗臺,2465.TW
2466,冠西電,2466.TW
2467,志聖,2467.TW
2468,華經,2468.TW
2471,資通,2471.TW
2472,立隆電,2472.TW
2474,可成,2474.TW
2476,鉅祥,2476.TW
2477,美隆電,2477.TW
2478,大毅,2478.TW
2480,敦陽科,2480.TW
2481,強茂,2481.TW
2482,連宇,2482.TW
2483,百容,2483.TW
2484,希華,2484.TW
2485,兆赫,2485.TW
2486,一詮,2486.TW
2488,漢平,2488.TW
2489,瑞軒,2489.TW
2491,吉祥全,2491.TW
2492,華新科,2492.TW
2493,揚博,2493.TW
2495,普安,2495.TW
2496,卓越,2496.TW
2497,怡利電,2497.TW
2498,宏達電,2498.TW
2501,國建,2501.TW
2504,國產,2504.TW
2505,國揚,2505.TW
2506,太設,2506.TW
2509,全坤建,2509.TW
2511,太子,2511.TW
2514,龍邦,2514.TW
2515,中工,2515.TW
2516,新建,2516.TW
2520,冠德,2520.TW
2524,京城,2524.TW
2527,宏璟,2527.TW
2528,皇普,2528.TW
2530,華建,2530.TW
2534,宏盛,2534.TW
2535,達欣工,2535.TW
2536,宏普,2536.TW
2537,聯上發,2537.TW
2538,基泰,2538.TW
2539,櫻花建,2539.TW
2540,愛山林,2540.TW
2542,興富發,2542.TW
2543,皇昌,2543.TW
2545,皇翔,2545.TW
2546,根基,2546.TW
2547,日勝生,2547.TW
2548,華固,2548.TW
2597,潤弘,2597.TW
2601,益航,2601.TW
2603,長榮,2603.TW
2605,新興,2605.TW
2606,裕民,2606.TW
2607,榮運,2607.TW
2608,嘉里大榮,2608.TW
2609,陽明,2609.TW
2610,華航,2610.TW
2611,志信,2611.TW
2612,中航,2612.TW
2613,中櫃,2613.TW
2614,東森,2614.TW
2615,萬海,2615.TW
2616,山隆,2616.TW
2617,台航,2617.TW
2618,長榮航,2618.TW
2630,亞航,2630.TW
2633,台灣高鐵,2633.TW
2634,漢翔,2634.TW
2636,台驊控股,2636.TW
2637,慧洋-KY,2637.TW
2642,宅配通,2642.TW
2645,長榮航太,2645.TW
2701,萬企,2701.TW
2702,華園,2702.TW
2704,國賓,2704.TW
2705,六福,2705.TW
2706,第一店,2706.TW
2707,晶華,2707.TW
2712,遠雄來,2712.TW
2722,夏都,2722.TW
2723,美食-KY,2723.TW
2727,王品,2727.TW
2731,雄獅,2731.TW
2739,寒舍,2739.TW
2748,雲品,2748.TW
2753,八方雲集,2753.TW
2762,世界健身-KY,2762.TW
2801,彰銀,2801.TW
2809,京城銀,2809.TW
2812,台中銀,2812.TW
2816,旺旺保,2816.TW
2820,華票,2820.TW
2832,台產,2832.TW
2834,臺企銀,2834.TW
2836,高雄銀,2836.TW
2838,聯邦銀,2838.TW
2845,遠東銀,2845.TW
2849,安泰銀,2849.TW
2850,新產,2850.TW
2851,中再保,2851.TW
2852,第一保,2852.TW
2855,統一證,2855.TW
2867,三商壽,2867.TW
2880,華南金,2880.TW
2881,富邦金,2881.TW
2882,國泰金,2882.TW
2883,開發金,2883.TW
2884,玉山金,2884.TW
2885,元大金,2885.TW
2886,兆豐金,2886.TW
2887,台新金,2887.TW
2888,新光金,2888.TW
2889,國票金,2889.TW
2890,永豐金,2890.TW
2891,中信金,2891.TW
2892,第一金,2892.TW
2897,王道銀行,2897.TW
2901,欣欣,2901.TW
2903,遠百,2903.TW
2904,匯僑,2904.TW
2905,三商,2905.TW
2906,高林,2906.TW
2908,特力,2908.TW
2910,統領,2910.TW
2911,麗嬰房,2911.TW
2912,統一超,2912.TW
2913,農林,2913.TW
2915,潤泰全,2915.TW
2923,鼎固-KY,2923.TW
2929,淘帝-KY,2929.TW
2939,永邑-KY,2939.TW
2945,三商家購,2945.TW
3002,歐格,3002.TW
3003,健和興,3003.TW
3004,豐達科,3004.TW
3005,神基,3005.TW
3006,晶豪科,3006.TW
3008,大立光,3008.TW
3010,華立,3010.TW
3011,今皓,3011.TW
3013,晟銘電,3013.TW
3014,聯陽,3014.TW
3015,全漢,3015.TW
3016,嘉晶,3016.TW
3017,奇鋐,3017.TW
3018,隆銘綠能,3018.TW
3019,亞光,3019.TW
3021,鴻名,3021.TW
3022,威強電,3022.TW
3023,信邦,3023.TW
3024,憶聲,3024.TW
3025,星通,3025.TW
3026,禾伸堂,3026.TW
3027,盛達,3027.TW
3028,增你強,3028.TW
3029,零壹,3029.TW
3030,德律,3030.TW
3031,佰鴻,3031.TW
3032,偉訓,3032.TW
3033,威健,3033.TW
3034,聯詠,3034.TW
3035,智原,3035.TW
3036,文曄,3036.TW
3037,欣興,3037.TW
3038,全台,3038.TW
3040,遠見,3040.TW
3041,揚智,3041.TW
3042,晶技,3042.TW
3043,科風,3043.TW
3044,健鼎,3044.TW
3045,台灣大,3045.TW
3046,建碁,3046.TW
3047,訊舟,3047.TW
3048,益登,3048.TW
3049,精金,3049.TW
3050,鈺德,3050.TW
3051,力特,3051.TW
3052,夆典,3052.TW
3054,立萬利,3054.TW
3055,蔚華科,3055.TW
3056,富華新,3056.TW
3057,喬鼎,3057.TW
3058,立德,3058.TW
3059,華晶科,3059.TW
3060,銘異,3060.TW
3062,建漢,3062.TW
3090,日電貿,3090.TW
3092,鴻碩,3092.TW
3094,聯傑,3094.TW
3130,一零四,3130.TW
3138,耀登,3138.TW
3149,正達,3149.TW
3164,景岳,3164.TW
3167,大量,3167.TW
3168,眾福科,3168.TW
3189,景碩,3189.TW
3209,全科,3209.TW
3229,晟鈦,3229.TW
3231,緯創,3231.TW
3257,虹冠電,3257.TW
3266,昇陽,3266.TW
3296,勝德,3296.TW
3305,昇貿,3305.TW
3308,聯德,3308.TW
3311,閎暉,3311.TW
3312,弘憶股,3312.TW
3321,同泰,3321.TW
3338,泰碩,3338.TW
3346,麗清,3346.TW
3356,奇偶,3356.TW
3376,新日興,3376.TW
3380,明泰,3380.TW
3406,玉晶光,3406.TW
3413,京鼎,3413.TW
3416,融程電,3416.TW
3419,譁裕,3419.TW
3432,台端,3432.TW
3437,榮創,3437.TW
3443,創意,3443.TW
3447,展達,3447.TW
3450,聯鈞,3450.TW
3454,晶睿,3454.TW
3481,群創,3481.TW
3494,誠研,3494.TW
3501,維熹,3501.TW
3504,揚明光,3504.TW
3515,華擎,3515.TW
3518,柏騰,3518.TW
3528,安馳,3528.TW
3530,晶相光,3530.TW
3532,台勝科,3532.TW
3533,嘉澤,3533.TW
3535,晶彩科,3535.TW
3543,州巧,3543.TW
3545,敦泰,3545.TW
3550,聯穎,3550.TW
3557,嘉威,3557.TW
3563,牧德,3563.TW
3576,聯合再生,3576.TW
3583,辛耘,3583.TW
3588,通嘉,3588.TW
3591,艾笛森,3591.TW
3592,瑞鼎,3592.TW
3593,力銘,3593.TW
3596,智易,3596.TW
3605,宏致,3605.TW
3607,谷崧,3607.TW
3617,碩天,3617.TW
3622,洋華,3622.TW
3645,達邁,3645.TW
3652,精聯,3652.TW
3653,健策,3653.TW
3661,世芯-KY,3661.TW
3665,貿聯-KY,3665.TW
3669,圓展,3669.TW
3673,TPK-KY,3673.TW
3679,新至陞,3679.TW
3686,達能,3686.TW
3694,海華,3694.TW
3701,大眾控,3701.TW
3702,大聯大,3702.TW
3703,欣陸,3703.TW
3704,合勤控,3704.TW
3705,永信,3705.TW
3706,神達,3706.TW
3708,上緯投控,3708.TW
3711,日月光投控,3711.TW
3712,永崴投控,3712.TW
3714,富采,3714.TW
3715,定穎投控,3715.TW
3716,中化控股,3716.TW
4104,佳醫,4104.TW
4106,雃博,4106.TW
4108,懷特,4108.TW
4119,旭富,4119.TW
4133,亞諾法,4133.TW
4137,麗豐-KY,4137.TW
4142,國光生,4142.TW
4155,訊映,4155.TW
4164,承業醫,4164.TW
4190,佐登-KY,4190.TW
4306,炎洲,4306.TW
4414,如興,4414.TW
4426,利勤,4426.TW
4438,廣越,4438.TW
4439,冠星-KY,4439.TW
4440,宜新實業,4440.TW
4526,東台,4526.TW
4532,瑞智,4532.TW
4536,拓凱,4536.TW
4540,全球傳動,4540.TW
4545,銘鈺,4545.TW
4551,智伸科,4551.TW
4552,力達-KY,4552.TW
4555,氣立,4555.TW
4557,永新-KY,4557.TW
4560,強信-KY,4560.TW
4562,穎漢,4562.TW
4564,元翎,4564.TW
4566,時碩工業,4566.TW
4569,六方科-KY,4569.TW
4571,鈞興-KY,4571.TW
4572,駐龍,4572.TW
4576,大銀微系統,4576.TW
4581,光隆精密-KY,4581.TW
4583,台灣精銳,4583.TW
4588,玖鼎電力,4588.TW
4720,德淵,4720.TW
4722,國精化,4722.TW
4736,泰博,4736.TW
4737,華廣,4737.TW
4739,康普,4739.TW
4746,台耀,4746.TW
4755,三福化,4755.TW
4763,材料-KY,4763.TW
4764,雙鍵,4764.TW
4766,南寶,4766.TW
4770,上品,4770.TW
4771,望隼,4771.TW
4807,日成-KY,4807.TW
4904,遠傳,4904.TW
4906,正文,4906.TW
4912,聯德控股-KY,4912.TW
4915,致伸,4915.TW
4916,事欣科,4916.TW
4919,新唐,4919.TW
4927,泰鼎-KY,4927.TW
4930,燦星網,4930.TW
4934,太極,4934.TW
4935,茂林-KY,4935.TW
4938,和碩,4938.TW
4942,嘉彰,4942.TW
4943,康控-KY,4943.TW
4949,有成精密,4949.TW
4952,凌通,4952.TW
4956,光鋐,4956.TW
4958,臻鼎-KY,4958.TW
4960,誠美材,4960.TW
4961,天鈺,4961.TW
4967,十銓,4967.TW
4968,立積,4968.TW
4976,佳凌,4976.TW
4977,眾達-KY,4977.TW
4989,榮科,4989.TW
4994,傳奇,4994.TW
4999,鑫禾,4999.TW
5007,三星,5007.TW
5203,訊連,5203.TW
5215,科嘉-KY,5215.TW
5222,全訊,5222.TW
5225,東科-KY,5225.TW
5234,達興材料,5234.TW
5243,乙盛-KY,5243.TW
5244,弘凱,5244.TW
5258,虹堡,5258.TW
5269,祥碩,5269.TW
5283,禾聯碩,5283.TW
5284,jpp-KY,5284.TW
5285,界霖,5285.TW
5288,豐祥-KY,5288.TW
5292,華懋,5292.TW
5306,桂盟,5306.TW
5388,中磊,5388.TW
5434,崇越,5434.TW
5469,瀚宇博,5469.TW
5471,松翰,5471.TW
5484,慧友,5484.TW
5515,建國,5515.TW
5519,隆大,5519.TW
5521,工信,5521.TW
5522,遠雄,5522.TW
5525,順天,5525.TW
5531,鄉林,5531.TW
5533,皇鼎,5533.TW
5534,長虹,5534.TW
5538,東明-KY,5538.TW
5546,永固-KY,5546.TW
5607,遠雄港,5607.TW
5608,四維航,5608.TW
5706,鳳凰,5706.TW
5871,中租-KY,5871.TW
5876,上海商銀,5876.TW
5880,合庫金,5880.TW
5906,台南-KY,5906.TW
5907,大洋-KY,5907.TW
6005,群益證,6005.TW
6024,群益期,6024.TW
6108,競國,6108.TW
6112,邁達特,6112.TW
6115,鎰勝,6115.TW
6116,彩晶,6116.TW
6117,迎廣,6117.TW
6120,達運,6120.TW
6128,上福,6128.TW
6133,金橋,6133.TW
6136,富爾特,6136.TW
6139,亞翔,6139.TW
6141,柏承,6141.TW
6142,友勁,6142.TW
6152,百一,6152.TW
6153,嘉聯益,6153.TW
6155,鈞寶,6155.TW
6164,華興,6164.TW
6165,浪凡,6165.TW
6166,凌華,6166.TW
6168,宏齊,6168.TW
6176,瑞儀,6176.TW
6177,達麗,6177.TW
6183,關貿,6183.TW
6184,大豐電,6184.TW
6189,豐藝,6189.TW
6191,精成科,6191.TW
6192,巨路,6192.TW
6196,帆宣,6196.TW
6197,佳必琪,6197.TW
6201,亞弘電,6201.TW
6202,盛群,6202.TW
6205,詮欣,6205.TW
6206,飛捷,6206.TW
6209,今國光,6209.TW
6213,聯茂,6213.TW
6214,精誠,6214.TW
6215,和椿,6215.TW
6216,居易,6216.TW
6224,聚鼎,6224.TW
6225,天瀚,6225.TW
6226,光鼎,6226.TW
6230,尼得科超眾,6230.TW
6235,華孚,6235.TW
6239,力成,6239.TW
6243,迅杰,6243.TW
6257,矽格,6257.TW
6269,台郡,6269.TW
6271,同欣電,6271.TW
6277,宏正,6277.TW
6278,台表科,6278.TW
6281,全國電,6281.TW
6282,康舒,6282.TW
6283,淳安,6283.TW
6285,啟碁,6285.TW
6288,聯嘉,6288.TW
6405,悅城,6405.TW
6409,旭隼,6409.TW
6412,群電,6412.TW
6414,樺漢,6414.TW
6415,矽力*-KY,6415.TW
6416,瑞祺電通,6416.TW
6426,統新,6426.TW
6431,光麗-KY,6431.TW
6438,迅得,6438.TW
6442,光聖,6442.TW
6443,元晶,6443.TW
6446,藥華藥,6446.TW
6449,鈺邦,6449.TW
6451,訊芯-KY,6451.TW
6456,GIS-KY,6456.TW
6464,台數科,6464.TW
6472,保瑞,6472.TW
6477,安集,6477.TW
6491,晶碩,6491.TW
6504,南六,6504.TW
6505,台塑化,6505.TW
6515,穎崴,6515.TW
6525,捷敏-KY,6525.TW
6526,達發,6526.TW
6531,愛普*,6531.TW
6533,晶心科,6533.TW
6541,泰福-KY,6541.TW
6550,北極星藥業-KY,6550.TW
6552,易華電,6552.TW
6558,興能高,6558.TW
6573,虹揚-KY,6573.TW
6579,研揚,6579.TW
6581,鋼聯,6581.TW
6582,申豐,6582.TW
6585,鼎基,6585.TW
6591,動力-KY,6591.TW
6592,和潤企業,6592.TW
6598,ABC-KY,6598.TW
6605,帝寶,6605.TW
6606,建德工業,6606.TW
6625,必應,6625.TW
6641,基士德-KY,6641.TW
6655,科定,6655.TW
6657,華安,6657.TW
6658,聯策,6658.TW
6666,羅麗芬-KY,6666.TW
6668,中揚光,6668.TW
6669,緯穎,6669.TW
6670,復盛應用,6670.TW
6671,三能-KY,6671.TW
6672,騰輝電子-KY,6672.TW
6674,鋐寶科技,6674.TW
6689,伊雲谷,6689.TW
6691,洋基工程,6691.TW
6695,芯鼎,6695.TW
6698,旭暉應材,6698.TW
6706,惠特,6706.TW
6715,嘉基,6715.TW
6719,力智,6719.TW
6742,澤米,6742.TW
6743,安普新,6743.TW
6753,龍德造船,6753.TW
6754,匯僑設計,6754.TW
6756,威鋒電子,6756.TW
6768,志強-KY,6768.TW
6770,力積電,6770.TW
6776,展碁國際,6776.TW
6781,AES-KY,6781.TW
6782,視陽,6782.TW
6789,采鈺,6789.TW
6790,永豐實,6790.TW
6792,詠業,6792.TW
6796,晉弘,6796.TW
6799,來頡,6799.TW
6805,富世達,6805.TW
6806,森崴能源,6806.TW
6807,峰源-KY,6807.TW
6830,汎銓,6830.TW
6834,天二科技,6834.TW
6835,圓裕,6835.TW
6838,台新藥,6838.TW
6861,睿生光電,6861.TW
6863,永道-KY,6863.TW
6869,雲豹能源,6869.TW
6873,泓德能源,6873.TW
6890,來億-KY,6890.TW
6901,鑽石投資,6901.TW
6906,現觀科,6906.TW
6914,阜爾運通,6914.TW
6916,華凌,6916.TW
6919,康霈*,6919.TW
6923,中台,6923.TW
6928,攸泰科技,6928.TW
6933,AMAX-KY,6933.TW
6937,天虹,6937.TW
6952,大武山,6952.TW
6957,裕慶-KY,6957.TW
6958,日盛台駿,6958.TW
8011,台通,8011.TW
8016,矽創,8016.TW
8021,尖點,8021.TW
8028,昇陽半導體,8028.TW
8033,雷虎,8033.TW
8039,台虹,8039.TW
8046,南電,8046.TW
8070,長華*,8070.TW
8072,陞泰,8072.TW
8081,致新,8081.TW
8101,華冠,8101.TW
8103,瀚荃,8103.TW
8104,錸寶,8104.TW
8105,凌巨,8105.TW
8110,華東,8110.TW
8112,至上,8112.TW
8114,振樺電,8114.TW
8131,福懋科,8131.TW
8150,南茂,8150.TW
8163,達方,8163.TW
8201,無敵,8201.TW
8210,勤誠,8210.TW
8213,志超,8213.TW
8215,明基材,8215.TW
8222,寶一,8222.TW
8249,菱光,8249.TW
8261,富鼎,8261.TW
8271,宇瞻,8271.TW
8341,日友,8341.TW
8367,建新國際,8367.TW
8374,羅昇,8374.TW
8404,百和興業-KY,8404.TW
8411,福貞-KY,8411.TW
8422,可寧衛,8422.TW
8429,金麗-KY,8429.TW
8438,昶昕,8438.TW
8442,威宏-KY,8442.TW
8443,阿瘦,8443.TW
8454,富邦媒,8454.TW
8462,柏文,8462.TW
8463,潤泰材,8463.TW
8464,億豐,8464.TW
8466,美吉吉-KY,8466.TW
8467,波力-KY,8467.TW
8473,山林水,8473.TW
8476,台境,8476.TW
8478,東哥遊艇,8478.TW
8481,政伸,8481.TW
8482,商億-KY,8482.TW
8488,吉源-KY,8488.TW
8499,鼎炫-KY,8499.TW
8926,台汽電,8926.TW
8940,新天地,8940.TW
8996,高力,8996.TW
9802,鈺齊-KY,9802.TW
9902,台火,9902.TW
9904,寶成,9904.TW
9905,大華,9905.TW
9906,欣巴巴,9906.TW
9907,統一實,9907.TW
9908,大台北,9908.TW
9910,豐泰,9910.TW
9911,櫻花,9911.TW
9912,偉聯,9912.TW
9914,美利達,9914.TW
9917,中保科,9917.TW
9918,欣天然,9918.TW
9919,康那香,9919.TW
9921,巨大,9921.TW
9924,福興,9924.TW
9925,新保,9925.TW
9926,新海,9926.TW
9927,泰銘,9927.TW
9928,中視,9928.TW
9929,秋雨,9929.TW
9930,中聯資源,9930.TW
9931,欣高,9931.TW
9933,中鼎,9933.TW
9934,成霖,9934.TW
9935,慶豐富,9935.TW
9937,全國,9937.TW
9938,百和,9938.TW
9939,宏全,9939.TW
9940,信義,9940.TW
9941,裕融,9941.TW
9942,茂順,9942.TW
9943,好樂迪,9943.TW
9944,新麗,9944.TW
9945,潤泰新,9945.TW
9946,三發地產,9946.TW
9955,佳龍,9955.TW
9958,世紀鋼,9958.TW
2254,巨鎧精密-創,2254.TW
2258,鴻華先進-創,2258.TW
2432,倚天酷碁-創,2432.TW
3150,鈺寶-創,3150.TW
6423,億而得-創,6423.TW
6534,正瀚-創,6534.TW
6645,金萬林-創,6645.TW
6757,台灣虎航-創,6757.TW
6771,平和環保-創,6771.TW
6794,向榮生技-創,6794.TW
6854,錼創科技-KY創,6854.TW
6902,走著瞧-創,6902.TW
6949,沛爾生醫-創,6949.TW
